split,macro_f1,micro_f1,macro_auc
train,0.4730782412717216,0.8428890311794106,0.9667846076477957
val,0.4668053616661503,0.8404233243411496,0.9644424195486597
test,0.47146157013999473,0.8407694861791317,0.9662889758033608
